Brand;Title;Kilometer;Gas Type;Gear Box;Year;Price
Alfa Romeo;Alfa Romeo Giulia 2.9 Bi-Turbo Quadrifoglio AT8;49 500;Gasolina;Automática;2017;72 500
Alfa Romeo;Alfa Romeo 147 1.6 TS;189 250;Gasolina;Manual;2001;990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Distinctive;240 000;Diesel;Manual;2009;5 999
Alfa Romeo;Alfa Romeo Giulia 2.9 Bi-Turbo Quadrifoglio;40 000;Gasolina;Manual;2018;85 999
Alfa Romeo;Alfa Romeo Spider 1.8 TS;39 000;Gasolina;Manual;1999;17 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive;212 000;Diesel;Manual;2011;7 900
Alfa Romeo;Alfa Romeo 159 Sportwagon 1.9 JTDm 16V Sportiva;223 951;Diesel;Manual;2008;10 000
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive;119 336;Diesel;Manual;2012;13 750
Alfa Romeo;Alfa Romeo MiTo 0.9 T TwinAir;93 000;Gasolina;Manual;2018;12 450
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Progression;216 856;Diesel;Manual;2011;9 690
Alfa Romeo;Alfa Romeo Giulia 2.2 D Super AT8;97 069;Diesel;Automática;2017;26 990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Progression 5KQ;174 000;Diesel;Manual;2014;7 999
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive 57X;139 000;Diesel;Manual;2017;14 900
Alfa Romeo;Alfa Romeo 159 1.9 JTDm 8V;119 000;Diesel;Manual;2007;8 990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Progression;135 570;Diesel;Manual;2009;7 500
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Sport TCT;98 000;Diesel;Automática;2018;16 900
Alfa Romeo;Alfa Romeo Giulia 2.2 D;75 000;Diesel;Manual;2017;23 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Exclusive 57X;123 000;Diesel;Manual;2016;14 900
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;158 000;Diesel;Automática;2018;33 500
Alfa Romeo;Alfa Romeo MiTo 1.3 JTDM Super;123 000;Diesel;Manual;2017;11 900
Alfa Romeo;Alfa Romeo MiTo;113 000;Diesel;Manual;2013;7 750
Alfa Romeo;Alfa Romeo 4C 1750 TBi;28 000;Gasolina;Automática;2017;89 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Sport;70 000;Diesel;Manual;2019;17 900
Alfa Romeo;Alfa Romeo Giulia 2.2 D Super;99 126;Diesel;Manual;2018;24 990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Progression S&S;219 000;Diesel;Manual;2013;6 500
Alfa Romeo;Alfa Romeo MiTo 1.4 MPi Progression;143 230;Gasolina;Manual;2009;7 450
Alfa Romeo;Alfa Romeo MiTo 0.9 T TwinAir;77 584;Gasolina;Manual;2018;11 900
Alfa Romeo;Alfa Romeo Tonale 1.3 Plug-In Hybrid Veloce e-AWD;874;Híbrido Plug-In;Automática;2024;52 500
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Veloce;186 613;Diesel;Manual;2013;9 499
Alfa Romeo;Alfa Romeo GT 1.9 JTD M-JET;275 512;Diesel;Manual;2004;5 450
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm;80 535;Diesel;Manual;2019;19 500
Alfa Romeo;Alfa Romeo MiTo 1.3 JTDM;145 000;Diesel;Manual;2016;10 750
Alfa Romeo;Alfa Romeo Giulia 2.2 D AT8;98 500;Diesel;Automática;2017;23 950
Alfa Romeo;Alfa Romeo Junior;100;Eléctrico;Automática;2024;44 000
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive;173 234;Diesel;Manual;2014;10 500
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm TCT;102 936;Diesel;Automática;2019;19 980
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Exclusive;219 000;Diesel;Manual;2015;7 350
Alfa Romeo;Alfa Romeo Tonale;9 081;Híbrido (Gasolina);Automática;2023;43 500
Alfa Romeo;Alfa Romeo Stelvio 2.0 T Super AT8 Q4;93 367;Gasolina;Automática;2020;33 990
Alfa Romeo;Alfa Romeo MiTo 1.6 JTD Progression;218 000;Diesel;Manual;2010;7 990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTDM ECO Impression;199 999;Diesel;Manual;2012;7 750
Alfa Romeo;Alfa Romeo Giulia 2.2 D AT8;182 679;Diesel;Automática;2019;23 900
Alfa Romeo;Alfa Romeo MiTo 1.3 JTDM Distinctive;179 000;Diesel;Manual;2012;8 700
Alfa Romeo;Alfa Romeo Junior Elletrica 50 kWh;8;Eléctrico;Automática;2024;42 490
Alfa Romeo;Alfa Romeo Tonale 1.6 VGT-D Sprint;19 762;Diesel;Automática;2023;33 900
Alfa Romeo;Alfa Romeo Giulia 2.2 D Estrema Q4 AT8;1 645;Diesel;Automática;2023;58 000
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8 Q4;137 000;Diesel;Automática;2018;33 900
Alfa Romeo;Alfa Romeo Giulietta;191 000;Diesel;Manual;2011;8 500
Alfa Romeo;Alfa Romeo Giulia 2.2 D Super AT8;2 000;Diesel;Automática;2023;42 450
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Exclusive;130 000;Diesel;Manual;2014;11 490
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Sport;206 000;Diesel;Manual;2016;9 990
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm;112 640;Diesel;Manual;2017;13 900
Alfa Romeo;Alfa Romeo MiTo 1.4 MPi Progression;97 623;Gasolina;Manual;2010;8 500
Alfa Romeo;Alfa Romeo MiTo;184 000;Diesel;Manual;2010;6 990
